,ITE_ITEM_TITLE,ITE_ITEM_TITLE,"Score Similitud (0,1)"
23,Tênis Moleca Nude Com Corda 5674104,Tênis Feminino Moleca Com Corda Nude Casual,0.5714285714285714
24,Chuteira Society Infantil Umbro Speed Iv Jr Confort Original,Chuteira Umbro Futsal Speed Iv Jr Azul,0.45454545454545453
25,Nike Air Max 2013,Nike Air Max Verona,0.6
26,Tênis Antiviral Piccadilly Slip-on Sem Cadarço Napa Branco,Tênis Antiviral Sem Cadarço Piccadilly Slip-on Napa Preto,0.75
27,Tênis Via Marte Juliete Bbb Feminino Cor Branco,Tênis Via Marte Casual Feminino Branco,0.5555555555555556
28,Caiçara Cargo 80 Bicicleta Motorizada Suspensão Freio Adisco,Caiçara Banana Bicicleta Motorizada Suspensão Freio Adisco,0.6666666666666666
29,Tênis Vizzano Slip On Monograma,Tênis Casual Vizzano Slip On Creme,0.5714285714285714
30,Tênis Fila Masculino Preto Corrida Caminhada Academia ,Tênis Masculino Fila Ideal Para Corrida Caminhada Academia ,0.75
31,Tenis Casual Preto Elastico ,Tenis Preto Casual Vizzano,0.6
32,Lubrificante Lube Cera 25g,Lubrificante A Base De Cera Para Corrente,0.3333333333333333
33,Tenis  Sneacker Feminino Surfista  Cheia De Marra Conforte,Tenis  Sneacker Feminino Mulher Fitness  Cheia De Marra ,0.5555555555555556
34,Sapatilha Mtb Bike Shiver Preta / Cinza,Sapatilha Mtb Bike Shiver Preta / Cinza ,1.0
35,Tênis Feminino Top Star Injetado Preto,Tênis Feminino Preto,0.5
36,Combo 2 Tênis Vivet Feminino Original A Pronta Entrega,Kit 2 Tenis Feminino Vivet Jogging Original Pronta Entrega,0.5454545454545454
37,Tênis Casual Kolosh Sportstyle Feminino K8861 Promoção,Tênis Feminino Casual Kolosh  ,0.5714285714285714
38,Tenis Due Sport ,Tenis Masc Inf Molekinho Sport,0.3333333333333333
39,Tênis Dad Feminino Sneaker Buffalo Casual Branco Com Tye Dye,Tênis Feminino Dad Sneaker Ramarim Casual Branco,0.6
40,"Tênis Vizzano Feminino, Jogging Casual",Tênis Vizzano Feminino Jogging Casual 1372.101 Preto,0.625
41,Tênis Feminino Adulto Sneaker Dakota G0989 Pronta Entrega,Tênis Feminino Adulto Sneaker Tratorado Dakota G0989,0.6666666666666666
42,Tenis De Menino Bota Com Luz De Led Sapato Preto Verde Barat,Tenis Botinha Infantil Menino Luz Led Dinossauro Preto,0.4166666666666667
43,Tenis Feminino Ultraconforto Esporao Fascite Coluna Moda On,Tenis Feminino Conforto Esporao Fascite Coluna Flex 7355.100,0.45454545454545453
44,Tênis Masculino Esportivo Actvitta 4907.101,Tênis Actvitta Esportivo Masculino 4909.101  ,0.6666666666666666
45,Tênis Nike Court Vision Low Premium Mtz Original + Nfe,Tênis Nike Court Vision Low Premium Mtz Original,0.8
46,Tênis Polo Energy Casual Tecido Marinho,Tênis Polo Casual Detalhe Em Pespontos Tecido Preto,0.4444444444444444
47,Tenis Feminino Basico Modare Com Palmilha Massageadora Macio,Tenis Feminino Modare Meia/cadarço Leve Macio E Confortavel,0.4
48,Tênis Mizuno Way Feminino Original Envio Já Com Nota Fiscal,Tênis Olympikus Ultraleve Feminino Original Com Nota Fiscal,0.5
49,Tênis Actvitta Esportivo Masculino 4908.204 Preto/azul,Tênis Masculino Esportivo Actvitta 4907.101,0.5714285714285714
50,Tênis Dolce G3 ,Tênis Meia Dolce G,0.4
51,Tenis Infantil Preto Molekinho/ Dia Das Crianças,Tenis Infantil Feminino Preto Tenis Para Crianças Barato ,0.5
52,Antiga Bicicleta Caloi Cross Freestyle,Bicicleta Antiga Caloi Berlineta ,0.5
53,Tenis Asics Gel Excite 8 1011b253 021 Cinza Masculino,Tenis Asics Gel Excite 8,0.5555555555555556
54,Bicicleta Sonic Aro 12 - 4 Itens,Bicicleta Hulk  Aro 12 - 3 Itens,0.5555555555555556
55,Tênis Feminino Caminhada Original Mikelly Confortável Azul,Tênis Feminino Tipo Coca Cola Caminhada Confortável Mikelly,0.5
56,Tenis Infantil Olympikus Spider Kids ,Tenis Infantil Masculino Olympikus Spider Kids Esportivo,0.7142857142857143
57,Nike X Off-white Dunk Low University Red,Nike Dunk Low Retro University Red,0.625
58,Tenis Molekinha Fashion Girl Bb - 2131.509.21218,Tenis Infantil Casual/retro Fashion Girl Molekinha 2520.1418,0.4
59,Tênis Skechers Go Walk Joy Marinho,Tênis Skechers Go Walk Joy,0.8333333333333334
60,Ténis Estilo All Star Cano Alto Masculino De Couro 16,Ténis Estilo All Star Cano Alto Masculino De Couro 11,0.8
61,Sapatênis Ferricelli Com Zíper Tam 39,Sapatênis Tam 35,0.3333333333333333
62,Sapatilha Mtb Scott Comp Boa Verm/ Pto,Sapatilha Scott Mtb Comp Boa 2021,0.625
63,Tênis Infantil Menina Fashion Kids Moda Feminino Bebe N22,Tênis Kids Infantil Menina Moda Feminino Crianças N°22,0.5454545454545454
64,Tênis Leve Fila Racer Motion Academia Caminhada,Tênis Feminino Para Academia E Caminhada Feminino Muito Leve,0.5
65,Tênis Feminino Beira Rio Esportivo Sem Cadarço Confortável ,Tênis Esportivo Beira Rio Feminino,0.7142857142857143
66,Tenis Infantil Tênis Feminino Brinde Bolsa B Fantástico,Tenis Infantil Tênis Infantil Feminino Brinde Bolsa B Envio ,0.7777777777777778
67,Tênis Olympikus Pride 2 Feminino Verde E Rosa,Tênis Olympikus Cyber 2 Feminino Preto E Rosa,0.5555555555555556
68,Tênis Freedom Fr-496 Nobuck Sintético - Cinza E Branco 2167,Tênis Freedom Fr-970 Nobuck Sintético - Grafite E Branco,0.5454545454545454
69,Bicicleta Infantil Kls Blue Girls Aro 16 Rodas De Nylon,Bicicleta Infantil Aro 16 Monster Kls Rodas Em Nylon Freios ,0.6363636363636364
70,Tênis Molekinha Infantil Lona Sider 2524331 Rosa,Tênis Molekinha Lona Neo Rosa Infantil Original,0.5555555555555556
71,Tênis Neoprene Trilha Sapatilha Náutica Cores Unissex Top,Sapatilha Tênis Trilha Neoprene Náutica Sola Borracha,0.5
72,Slip On Feminino Calce Facil Moleca Original Tenis Casual,Tenis Slip On Feminino Moleca Casual Plataforma Calce Facil,0.8
73,Tenis Slip On Masculino Couro Legítimo Casual Lindo,Tênis Slip On Masculino Em Couro Legítimo,0.5555555555555556
74,3pcs Mini Clubes De Golfe Caneta Esferográfica Set Com Bola,Tênis Holográfico Mini Sua Cia,0.09090909090909091
75,Tênis Anacapri Branco Corda Flatform Original,Tênis Anacapri Branco Flatform Paula Original,0.7142857142857143
76,Tênis Solado Baixo Moleca Feminino Camurça Original,Tênis Feminino Moleca Camurça Casual Sem Cadarço Original,0.5555555555555556
77,Tênis Casual Intruder Max Confort Plus Couro Marrom,Tênis Ranster Max Casual Masculino Em Couro,0.4
78,Tênis Masculino Olympikus Absolute Esportivo Slipon Original,Tênis Olympikus Esportivo Masculino Original ,0.7142857142857143
79,Tênis 02 Pares Sapatênis Sapatilha Casual Feminino Srt/414,Tênis Casual Feminino Kit 02 Pares Sapatênis Moda Feminina ,0.5454545454545454
80,Bicicleta Nathor Aro 12 Infantil Cores Masculina Feminina ,Bicicleta  Masculina Infantil Nathor Black Aro 12,0.6666666666666666
81,Tênis Esportivo Masculino Olimpak Pronta Entrega Na Caixa,Tênis Esportivo Tenis Masculino Femino A Pronta Entrega,0.5555555555555556
82,Tênis Infantil Menino Molekinho 2821104 Azul Preto Laranja,Tênis Infantil Menino Molekinho 2801122 Preto,0.5555555555555556
83,Tenis Klin Anatomico Baby Light Led Marinho/pink,Tênis Klin Baby Light Rosa/pink,0.3333333333333333
84,Tênis Puma Softride Rift Tech Feminino,Tênis Puma Carina Feminino,0.42857142857142855
85,Tênis Náutico Masculino Confortável Neoprene Esporte ,Tênis Esporte Masculino,0.5
86,Tenis Vert V-10 Dourado T.luxury,Tenis Vert V-10 Dourado Preferida,0.6666666666666666
87,Tenis Ramarim Textil Lycra 08/2021 21-87202 Preto,Tenis Ramarim Sneaker Preto Snk,0.3333333333333333
88,"Sapatos Antiderrapantes Respiráveis Dos Esportes, Sapatos Do","Sapatos De Segurança De Fibra De Kevlar, Respiráveis",0.375
89,Tenis Atacado Barato ,Tenis Infantil Feminino Atacado Barato Para Revenda ,0.5
90,Sapatênis Samello Masculino Marrom 41,Sapatênis Masculino Urbano Marrom,0.5
91,Sapatilha Com Pedal,Sapatilha Dalvan,0.3333333333333333
92,Kit 2 Pares Tênis Casual Sapatenis Feminino Clássico,Kit Com 2 Pares Do Tênis Feminino Casual,0.75
93,Tênis Slip-on Infantil Menino Camuflado Molekinho 2617100,Tênis Infantil Menino Molekinho 2820.103,0.5
94,Tênis Sapatênis Feminino Anabela Casual Confort Para Esporão,Tênis Feminino Casual Sapatênis Feminino Confort Camuflado,0.625
95,Tenis Pampili Link Marinho - 417034,Tenis Kolosh C0634a - Marinho,0.375
96,Bicicleta Aro 12 Feminina Infantil Nathor Violet Promoção,Bicicleta Nathor Aro 12 Infantil Cores Masculina Feminina ,0.6
97,Tenis Fila Euro Jogger Sport Masculino Tamanhos Grandes ,Tenis Fila Euro Jogger Sport Masculino Casual,0.6666666666666666
98,Tênis Napa Branco Meninario,Tênis Feminino Napa Branco,0.6
99,Tênis Polo Farm Juvenil Casual Masculino 91728,Tênis Infantil Polo Farm Casual Masculino Juvenil ,0.75
100,//kit 2 Pares De Tênis Fé Estiloso De Perfeita Qualidade//,//kit 3 Pares De Tênis Fé Estiloso De Belíssima Qualidade//,0.6
101,Tênis Feminino Casual Estilo Star Em Jeans Vermelho,Tênis Feminino Casual Estilo Star Cano Baixo Lançamento,0.5
102,Tênis Feminino Casual Flatform Beira Rio 4242.103,Tênis Casual Feminino Beira Rio,0.7142857142857143
103,Sapatênis Pegada Stretch Masculino Ref. 118601,Sapatênis Pegada Stretch/carmurça Masculino Ref. 118802,0.5555555555555556
104,Placa De Comando (power)+ Sensor Tv Lg39ln5400,Placa T-com (lâmpadas) Tv Samsung Ln32c350d1m,0.3076923076923077
105,Tênis Infantil Bibi Fisioflex 4.0 Menino 1110028 ,Tênis Infantil Bibi Fisioflex 4.0 Masculino Feminino,0.5555555555555556
106,Tênis Olympikus Sonoro Masculino Treino E Academia 799 ,Tênis Olympikus Astro Masculino Treino Caminhada Academia,0.5555555555555556
107,Tênis Masculino Original Casual Confortável + Chinelo Danper,Combo Tênis Casual Mule Babuche Masculino + Chinelo Danper,0.5454545454545454
108,Tênis De Academia Masculino Para Caminhada Leve Confortável,Tênis Masculino Ultra Leve Para Academia E Caminhada,0.7142857142857143
109,Sapatos De Malha Mulher Homem Tênis Running Sports Respiráve,Sapatilhas Sapatos Esportivos Homem Mulher Tênis Correndo,0.36363636363636365
110,Tênis Feminino Moda Casual Dia Noite Blogueira Confortável,Tênis Casual Feminino Estampado Confortável Dia A Dia,0.5555555555555556
111,Tênis Feminino Casual Beira Rio - 4205123,Tênis Casual Feminino Beira Rio,0.7142857142857143
112,Tênis Esportivo Olympikus Antiderrapante Original Com Nf,Tênis Olympikus Esportivo Masculino Original ,0.5714285714285714
113,Air Max 720 42br Iridescent,Air Max 95,0.3333333333333333
114,Tenis Nike Masculino Vista Lite,Tenis Masculino Nike Revolution 5,0.42857142857142855
115,Tênis Sekko Estiloso,Tênis Estiloso,0.6666666666666666
116,Tênis Versace Amarelo/azul/marinho Flex Ouro,Tênis Versace Amarelo/azul/marinho Flex Bellisima,0.6666666666666666
117,Tenis Infantil Menino Menina Cano Alto Bota Botinha Tênis,Tenis Infantil Cano Alto Bota Sapato Menino Menina Kids Star,0.5833333333333334
118,All Star Skidgrip Cvo Ox Produto Original,All Star Oncinha Original,0.375
119,Tênis Randall Yatch Plus Jeans Preto Rdl 1042 Adulto Em Lona,Tênis Jogging Preto Polo Plus,0.25
120,Sapatilha Speed Giro Feminina Cadet Solado Carbono Com Boa,Sapatilha Ciclismo Feminina Speed Road Giro Cadet Branco Boa,0.5454545454545454
121,Tênis Olympikus Elevation Feminino Sport Caminhada,Tênis Feminino Sport Olympikus Cs1 Para Caminhada Academia ,0.625
122,Tenis Feminino New Balance X-70 Wsx70ba234b Original,Tenis Casual Feminino New Balance X-70 Preto,0.5555555555555556
123,Tenis Mustique Rsv #247 Reserva - Marrom,Tenis Maskot Rsv #227 Reserva,0.4
124,Bicicleta Aro 29 Rs1 Pro 24v Freio Hidra Trava Cinza 17,Bicicleta Aro 29 Rs1 Pro 24v Freio Hidra Trava Vermelho 19,0.6923076923076923
125,Tênis Mariha Calçados Casual,Tênis Mariha Calçados Casual Corda,0.8
126,adidas Zx 8000 Boost,Tênis adidas Zx 2k Boost Pharrell Williams,0.375
127,Tênis Modare Napa Branco - Original + Nf ,Tênis Hocks Pop Lite Brilhante - Branco Original + Nf,0.5
128,Tênis Olympikus Ação Feminino Lançamento Academia Original,Tênis Feminino Academia Olympikus Boreal Original Lançamento,0.75
129,Tênis All Star Converse Cor Branco Cano Baixo - 379,Tênis All Star Converse Plataforma Branco Cano Alto - 5058,0.5384615384615384
130,Molekinha Tênis Conforto Antiderrapante 012870,Klin Tênis Conforto Antiderrapante 015078,0.42857142857142855
131,Tenis Feminino Marinho/coral/jeans Actvitta 4809.105,Tenis Actvitta Feminino 4802.103-marinho,0.5
132,Tênis Academia Corrida E Caminhada Lotto Quest,Tênis Academia Corrida E Caminhada Lotto Thunder,0.7142857142857143
133,Tenis Chunky Kolosh Feminino Casual Evafit Conforto Maciez,Tenis Casual Feminino Kolosh ,0.5
134,3 Tênis Masculino B2c Casual  Frete Grátis Black Friday,6 Tênis Masculino B2c Casual Frete Grátis Black Friday,0.8
135,Tênis Feminino Actvitta Corrida Caminhada 4806416,Tênis Feminino Para Caminhada Corrida Academia Esportivo,0.5
136,Tênis Olympikus Blog 0800 35/39,Tênis Olympikus Blog Feminino - Rosa,0.375
137,Tênis Feminino Salto Alto Esporão Antiderrapante Super Macio,Tênis Feminino Plataforma Moda Salto Alto  ,0.4
138,Tênis Feminino Mizuno Wave Creation 20 Barato Promoção ,Tênis Wave Creation 20 Masculino Caminhada Barato Promoção,0.6
139,Tênis Usthemp Short Temático - Borboleta 2,Tênis Usthemp Short Temático - Patins 2,0.75
140,Tenis Feminino Star Rosa Cano Baixo Converse 1,Tênis Star Rosa Cano Baixo Feminino Masculino Imperdível,0.45454545454545453
141,Tênis Infantil Masculino Feminino Liso A Pronta Entrega 12x,Tênis Sem Cadarço Infantil Masculino Macio Pronta Entrega,0.5
142,Tênis Fila Euro Jogger Marinho E Branco Masculino Original,Tênis Fila Euro Jogger Sport Masculino 11u335x Original,0.6
143,Tênis Oakley Modoc Mid Ii Masculino Marrom,Tênis Oakley Masculino Mod Modoc Low ,0.4444444444444444
144,Tenis Boa Onda Soft Rosa Ref 1919,Tenis Olympikus Tenis Prime/722 Rosa,0.2222222222222222
145,Tênis Infantil Masculino Molekinho Esportivo 2831.113 Preto,Tênis Masculino Infantil Molekinho Esportivo 2831.113,0.8571428571428571
146,Tênis Mvp Cross Academia Vermelho Red C/ Palmilha Lpo,Tênis Mvp Cross Academia Celeste C/ Palmilha Lpo Fit Cross ,0.6363636363636364
147,Tênis Feminino Branco Chuncky Plataforma,Tênis Branco Feminino Plataforma,0.8
148,Tenis Feminino Academia Masculino Mizuno Inspire 6 + Frete ,Tênis Unissex Mizuno Inspire 6 Masculino E Feminino Outfit,0.4166666666666667
149,Tênis Menina 435133 Branco Prata Luluca Luna Pampili 91793,Tênis Collab Luluca Luna Pampili 435.133 - Branco,0.4166666666666667
150,Tênis De Grife Masculino Louis Vuitton ,Tênis Masculino Louis Vuitton Azul Lindíssimo E Sem Avarias,0.5
151,Tênis adidas Response Classic Masculino - Preto E Branco,Tênis adidas Response Run Esportivo Masculino Branco,0.5
152,Tenis Olympikus Twist Corrida Masculino Pronta Entrega 691,Tenis Masculino Olympikus Veloz- Corrida,0.4444444444444444
153,Tênis Adrun Flexpower Preto,Tênis Adrun Flex Power Preto,0.5
154,Tênis Masculino Asics Gel-shogun Carrier Grey- 1011b251.021,Tênis Asics Gel-shogun 3 Masculino - Azul+amarelo,0.4
155,Tênis Chunky Feminino Vizzano Napa Preto/prata,Tênis Feminino Napa Sneaker Chunky Vizzano,0.7142857142857143
156,Bicicleta Gts Pro M5 Techs 21v Aro 29 Freio À Disco Aluminio,Bicicleta Gts Pro M5 Techs Aro 29 Freio À Disco 24v Aluminio,0.8333333333333334
157,Tenis Asics Gel Nagoya 3 Cinza Masculino,Tenis Asics Gel Excite 8 1011b253 021 Cinza Masculino,0.45454545454545453
158,Tênis Casual Feminino Kolosh Original C1287 Preto,Tênis Casual Feminino Kolosh Original C1287,0.8571428571428571
159,Tênis Preto Velcro Presente,Tênis Starzinho Preto Velcro,0.6
160,Tênis W Nike Air Max Dia,Tênis Nike Air Max 38,0.5714285714285714
161,Sapatenis Casual Confortavel Macio Lançamento Zxc01,Sapatenis Casual Confortavel Macio Lançamento Zxc002,0.7142857142857143
162,Tênis Feminino Cano Alto Star Lona Botinha Contramão,Tênis Feminino Cano Alto Old Star Lona Botinha Lançamento ,0.7
163,Tênis Feminino Beira Rio Camurça Flex Oliva 4271.101,Tênis Feminino Beira Rio Camurça 4271.101,0.75
164,Tênis Masculino Leve Neoprene Sem Cadarço Calça Fácil Fk,Tênis Running Masculino Neoprene Academia Leve,0.4
165,Tenis Babolat Infantil All Court Pulsion Velcro Nº 24 Ao 31 ,Tenis Babolat Infantil All Court Pulsion Velcro/ Nº 24 Ao 30,0.6666666666666666
166,Tênis Alpargata Masculino Havaianas Sneaker Layers Iii Cinza,Tênis Reef Masculino Cinza,0.3333333333333333
167,Tênis Pegada Feminino De Malha Sem Cadarço 218852 Preto,Tênis Sem Cadarço Feminino Preto Calce Facil,0.4444444444444444
168,Tênis Feminino Casual Estilo Star Cano Baixo Lançamento,Tênis Casual Feminino Calu Cano Baixo  Lux Woman Lançamento ,0.5454545454545454
169,Tênis adidas Breaknet Plus O Melhor Preço,Tênis adidas Duramo Sl O Melhor Preço,0.5
170,Tenis Olympikus Academia Esportivo Ultra Leve Original,Tenis Olympikus Corrida Academia Treino Ultra Leve Original,0.6666666666666666
171,Tv Digital Portátil 14 Polegadas Led Monitor Hd Hdmi Usb Sd Vga Mtm1410,Tv 43 Polegadas Toshiba Led Smart Full Hd Usb Hdmi - 43l2500,0.3157894736842105
172,Tênis Mad Bull Action Vermelho / Caramelo,Tênis Mad Bull Action Estilo Urbano / Skate - Caramelo Total (listra),0.4
173,Mizuno Action 4307 33/40,Tenis Mizuno Action ,0.4
174,Tenis Molekinha Bebe Glitter - 2118.122,Tenis Molekinha Menina Glitter - 2520.1309,0.5
175,Tênis Infantil Bibi Menino Cinza Easy Iii - 1066203,Tênis Infantil Bibi Easy Iii Lançamento,0.5
176,Bicicleta Sense Grom 2021 - Aro 16,Bicicleta Infantil Sense Grom Aro 16 Aqua/preto 21/22,0.5
177,Tênis Flatform Slip On Pérolas Napa Rosa 145666b,Tênis Ramarim Slip On Meia Flatform Elástico Rosa 71204,0.4166666666666667
178,Tênis Feminino Code Diadora,Tênis Diadora Code Feminino,1.0
179,Tenis Feminino Asics Gel-pacemaker 2 1012b239,Tenis Asics Gel-pacemaker 2 Masculino,0.5714285714285714
180,Sapatênis West Coast Marrom Absorve Impacto 187407-2,Sapatênis Slip On Couro West Coast Perfuros Marrom 187407-2,0.45454545454545453
181,Tênis Feminino Buff Branco Moda Blogueira ,Tênis Feminino Branco Plataforma Moda,0.5714285714285714
182,Tênis Free Fire Original Masculino Feminino Cano Alto,Tênis  Basquete Cano Alto Feminino E Masculino,0.5555555555555556
183,Tenis Feminino Caminhada Corrida Confortavel Com Cadarço,Tenis Feminino Caminhada Corrida Esporte Super Confortavel ,0.625
184,Tênis Infantil Kidy 023-0023-0008 Luzes Menina ,Tênis Infantil Preto Menina Kidy,0.5714285714285714
185,Tênis Feminino Torricella Enfeite Cadarço Branco/confortável,Tênis Feminino Torricella Casual Branco Preto Cadarço ,0.4444444444444444
186,Tênis Converse All Star Cano Baixo Lona Preto Ct00010007,Tênis Converse All Star Ct0446 Cano Baixo Original,0.5454545454545454
187,Bicicleta Aro 26 Caloi Andes V-brake 21 Marchas Quadro Aço,Bicicleta Caloi Aro 26 21 Marchas Andes Mountain Bike,0.5833333333333334
188,Tênis Sapato Short Bermuda Combo Promoção Lançamento,Tênis Sapato Short Bermuda Kit Lançamento Oferta,0.5555555555555556
189,Sapatilha Mtb Ciclismo Bike Preta + Pedal Wellgo M919,Sapatilha Ciclismo Preta S6 + Pedal Wellgo M919 Promoção,0.6363636363636364
190,Sapatênis Masculino Pegada Em Couro 118107 Amortech Original,Sapatênis Pegada Couro Masculino Amortech 116910,0.625
191,Bicicleta Aro 29 Gta De Alumínio 21 Marcha.,"Bicicleta Aro 29 , 21 Marcha ",0.5555555555555556
192,Sapatilha Ciclismo Mtb Elleven 3 Fechos Preta/vermelha Nfe,Sapatilha Ciclismo Mtb Absolute Mia Feminina Rosa 3 Fechos,0.4166666666666667
193,Tênis Infantil Botinha Feminina Velcro E Elástico Prático,Tênis Botinha Feminina Infantil Pink Cats V1153,0.4
194,Tênis Infantil Menino Esportivo Conforto Molekinho Cinza,Tênis Infantil Menino Molekinho Super Conforto 2609.109,0.5555555555555556
195,Tênis Hocks Trip - Preto/menta Original + Frete,Tênis Hocks Nuv - Original,0.4444444444444444
196,Bicicleta Specialized Stumpjumper Fs Cromoly Tange Prestige,Bicicleta Specialized Stumpjumper St Alumínio 29 2020,0.2727272727272727
197,Tênis Mizuno Wave Dynasty 3 Feminino,Tênis Mizuno Wave Dynasty 3 Feminino Envio Imediato,0.75
198,Tênis Infantil Red Nose Skate Casual 16467 Rnfj101,Tênis Infantil Red Nose Rnfj103,0.4444444444444444
199,Tênis Olympikus  Breed Preto 444 Academia Corrida,Tênis Masculino Olympikus Jogging Preto Academia Corrida,0.5555555555555556
200,Tênis Lilica Ripilica Original Em Couro,Tênis Infantil Lilica Ripilica Preto,0.42857142857142855
201,Tênis Feminino Caminhada Sapato Academia Leve Promoção,Tênis Para Caminhada Leve Feminino Corrida Academia Promoção,0.75
202,Tênis Puma Running Descendant (original).,Tênis Esportivo (original),0.4444444444444444
203,Tênis Feminino Sneaker Vizzano Flatform Chunky Azul 1304108,Tênis Feminino Chunky Blogueira Flatform Sneaker Vizzano,0.6666666666666666
204,Tênis Nylon Casual Academia Macio + Carteira + Relógio,Tênis Caminhada Macio Fitness Academia + Carteira + Relógio,0.6
205,Tênis Ous Ueno Refletivo Essencial Couro Preto 350004-11 Nf,Tênis Ous Ueno Refletivo Essencial,0.5555555555555556
206,Tênis Puma Runner,Tênis Puma Retro,0.5
207,Tênis Leve Olympikus Corre 1 Esportivo Original + Nf-e,Tênis Masculino Olympikus Estelar Esportivo Original + Nf-e,0.5454545454545454
208,Tenis Fila Fast Charge,Tenis Fila Iconic Iconic,0.4
209,Tênis Via Marte 217202,Tênis  Via Marte,0.75
210,Sapatilha Sidi Buvel 41,Sapatilha Sidi,0.5
211,Tênis Farm Cajuzada Preto Me Leva,Tênis Preto ,0.4
212,Sapatênis Casual Couro Masculino Solado Tr Conforto.,Sapatênis Masculino Kildare Couro Cadarço Casual Conforto,0.5
213,Tênis Oakley Street Lifestyle,Tênis Oakley ,0.5
214,Sapatilha Tênis Neoprene Ciclismo Surf Academia Aquática,Sapatilha Híbrida Neoprene Ciclismo Surf Academia Aquática,0.75
215,Tênis Infantil Menino Ortopé Dna New 22410022,Tênis Infantil Menino Ortopé Dna Flex ,0.625
216,Tênis Nike Urbam,Tênis Usado Nike,0.5
217,Par Peneu Akision Advance,Kit 1 Par Sapatenis,0.14285714285714285
218,Sapatênis Casual Para Dia A Dia,Sapatênis Casual Lona,0.5
219,Tênis Estiloso,Tênis Sekko Estiloso,0.6666666666666666
220,Chuteira Molekinho Preta Futsal Infantil,Chuteira Infantil Molekinho Futsal Preto,0.6666666666666666
221,Tenis Skechers Marinho Feminino 12623 Original Lançamento,Tenis Skechers Rose Original Feminino Lançamento 149051,0.5555555555555556
222,Tênis Usthemp Long Vegano Casual Estampa Mau Egípcio,Tênis Usthemp Amy Vegano Casual Estampa Mau Egípcio,0.7777777777777778
223,Tênis Masculino Original Fila Crossfit Academia Trilha  Nota,Tênis Fila Oakmont Masculino Academia - Original,0.5
224,Tenis Tweenie 501 #play  949501020 - 2709,Tenis Tweenie 501 #play 949501047 - Referência: 501061.,0.46153846153846156
225,Olympikus Tênis Vetor Unisex Marinho/atlântico,Tênis Vetor Olympikus,0.6
226,Tênis Masculino Asc Crazy Advance Leve Cor Cinza E Verde,Tênis Masculino Asc Crazy Advance Leve Cor Preto E Laranja,0.6363636363636364
227,Mulher Stretch Cloth Sapatos Esportivos Confortáveis 9140,Sapatos Novo Estilo Sapatos Esportivos Confortáveis Mulheres,0.3
228,Tênis Usthemp Volare Temático - Snes 3,Tênis Usthemp Long Temático - Snes 3,0.75
